exam_id,question_id,sample_id,basename,post_selection_source,cluster_id,cluster_size_raw,cosine_to_centroid,triggered_replacement,decision,decision_reason,randoms_in_cluster_before,rank_in_cluster_by_cosine
20240527-0257-25e8-3008-c6addc717258,15,20240527-0257-25e8-3008-c6addc717258/15/20240527-0257-25e8-3008-c6addc717258_15_15.jpg,20240527-0257-25e8-3008-c6addc717258_15_15.jpg,hard,cluster_5,2606,0.697704553604126,False,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,15,20240527-0257-25e8-3008-c6addc717258/15/20240527-0257-25e8-3008-c6addc717258_15_153.jpg,20240527-0257-25e8-3008-c6addc717258_15_153.jpg,diverse,cluster_5,2606,0.7441372275352478,False,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,15,20240527-0257-25e8-3008-c6addc717258/15/20240527-0257-25e8-3008-c6addc717258_15_158.jpg,20240527-0257-25e8-3008-c6addc717258_15_158.jpg,diverse,cluster_2,2092,0.7920274138450623,False,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,15,20240527-0257-25e8-3008-c6addc717258/15/20240527-0257-25e8-3008-c6addc717258_15_72.jpg,20240527-0257-25e8-3008-c6addc717258_15_72.jpg,hard,cluster_5,2606,0.6769959926605225,False,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,16,20240527-0257-25e8-3008-c6addc717258/16/20240527-0257-25e8-3008-c6addc717258_16_104.jpg,20240527-0257-25e8-3008-c6addc717258_16_104.jpg,hard,cluster_6,3834,0.8034709692001343,False,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,16,20240527-0257-25e8-3008-c6addc717258/16/20240527-0257-25e8-3008-c6addc717258_16_163.jpg,20240527-0257-25e8-3008-c6addc717258_16_163.jpg,diverse,cluster_6,3834,0.8311032652854919,False,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,16,20240527-0257-25e8-3008-c6addc717258/16/20240527-0257-25e8-3008-c6addc717258_16_192.jpg,20240527-0257-25e8-3008-c6addc717258_16_192.jpg,diverse,cluster_6,3834,0.6869819164276123,False,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,16,20240527-0257-25e8-3008-c6addc717258/16/20240527-0257-25e8-3008-c6addc717258_16_86.jpg,20240527-0257-25e8-3008-c6addc717258_16_86.jpg,hard,cluster_6,3834,0.8330654501914978,False,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_110.jpg,20240527-0257-25e8-3008-c6addc717258_17_110.jpg,hard,cluster_11,4191,0.8741499185562134,True,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_128.jpg,20240527-0257-25e8-3008-c6addc717258_17_128.jpg,diverse,cluster_7,2261,0.6240507960319519,True,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_149.jpg,20240527-0257-25e8-3008-c6addc717258_17_149.jpg,diverse,cluster_11,4191,0.8546983003616333,True,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_152.jpg,20240527-0257-25e8-3008-c6addc717258_17_152.jpg,replacement,cluster_11,4191,0.7877560257911682,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_153.jpg,20240527-0257-25e8-3008-c6addc717258_17_153.jpg,hard,cluster_11,4191,0.8465510010719299,True,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_176.jpg,20240527-0257-25e8-3008-c6addc717258_17_176.jpg,replacement,cluster_11,4191,0.6207202076911926,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_32.jpg,20240527-0257-25e8-3008-c6addc717258_17_32.jpg,replacement,cluster_11,4191,0.8368871808052063,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,17,20240527-0257-25e8-3008-c6addc717258/17/20240527-0257-25e8-3008-c6addc717258_17_64.jpg,20240527-0257-25e8-3008-c6addc717258_17_64.jpg,replacement,cluster_9,3636,0.8152883648872375,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,18,20240527-0257-25e8-3008-c6addc717258/18/20240527-0257-25e8-3008-c6addc717258_18_124.jpg,20240527-0257-25e8-3008-c6addc717258_18_124.jpg,diverse,cluster_0,2169,0.8043721318244934,False,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,18,20240527-0257-25e8-3008-c6addc717258/18/20240527-0257-25e8-3008-c6addc717258_18_165.jpg,20240527-0257-25e8-3008-c6addc717258_18_165.jpg,hard,cluster_0,2169,0.8098971843719482,False,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,18,20240527-0257-25e8-3008-c6addc717258/18/20240527-0257-25e8-3008-c6addc717258_18_183.jpg,20240527-0257-25e8-3008-c6addc717258_18_183.jpg,diverse,cluster_3,2444,0.8030093908309937,False,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,18,20240527-0257-25e8-3008-c6addc717258/18/20240527-0257-25e8-3008-c6addc717258_18_36.jpg,20240527-0257-25e8-3008-c6addc717258_18_36.jpg,hard,cluster_0,2169,0.7904404997825623,False,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_123.jpg,20240527-0257-25e8-3008-c6addc717258_19_123.jpg,replacement,cluster_4,3444,0.776435911655426,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_14.jpg,20240527-0257-25e8-3008-c6addc717258_19_14.jpg,replacement,cluster_4,3444,0.7491459250450134,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_141.jpg,20240527-0257-25e8-3008-c6addc717258_19_141.jpg,diverse,cluster_4,3444,0.7722861170768738,True,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_161.jpg,20240527-0257-25e8-3008-c6addc717258_19_161.jpg,replacement,cluster_4,3444,0.8021507859230042,True,keep,non_random_source=replacement,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_163.jpg,20240527-0257-25e8-3008-c6addc717258_19_163.jpg,hard,cluster_8,2333,0.6050487756729126,True,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_168.jpg,20240527-0257-25e8-3008-c6addc717258_19_168.jpg,hard,cluster_8,2333,0.6566095352172852,True,keep,non_random_source=hard,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_49.jpg,20240527-0257-25e8-3008-c6addc717258_19_49.jpg,diverse,cluster_8,2333,0.6406738758087158,True,keep,non_random_source=diverse,,
20240527-0257-25e8-3008-c6addc717258,19,20240527-0257-25e8-3008-c6addc717258/19/20240527-0257-25e8-3008-c6addc717258_19_56.jpg,20240527-0257-25e8-3008-c6addc717258_19_56.jpg,replacement,cluster_4,3444,0.7775677442550659,True,keep,non_random_source=replacement,,
20240527-1328-161a-c2c0-676cb0382723,15,20240527-1328-161a-c2c0-676cb0382723/15/20240527-1328-161a-c2c0-676cb0382723_15_102.jpg,20240527-1328-161a-c2c0-676cb0382723_15_102.jpg,hard,cluster_6,3834,0.7865762114524841,False,keep,non_random_source=hard,,
20240527-1328-161a-c2c0-676cb0382723,15,20240527-1328-161a-c2c0-676cb0382723/15/20240527-1328-161a-c2c0-676cb0382723_15_111.jpg,20240527-1328-161a-c2c0-676cb0382723_15_111.jpg,hard,cluster_6,3834,0.7674144506454468,False,keep,non_random_source=hard,,
20240527-1328-161a-c2c0-676cb0382723,15,20240527-1328-161a-c2c0-676cb0382723/15/20240527-1328-161a-c2c0-676cb0382723_15_22.jpg,20240527-1328-161a-c2c0-676cb0382723_15_22.jpg,diverse,cluster_6,3834,0.7982637882232666,False,keep,non_random_source=diverse,,
20240527-1328-161a-c2c0-676cb0382723,15,20240527-1328-161a-c2c0-676cb0382723/15/20240527-1328-161a-c2c0-676cb0382723_15_24.jpg,20240527-1328-161a-c2c0-676cb0382723_15_24.jpg,diverse,cluster_6,3834,0.5474433302879333,False,keep,non_random_source=diverse,,
